,행정동,기초생활수급자인원,노년부양비,독거노인수,고령자수
0,서초1동,356,20.5,143.0,3140
1,서초2동,157,17.1,68.0,3396
2,서초3동,359,20.4,121.0,5002
3,서초4동,70,20.4,30.0,4346
4,잠원동,254,17.4,116.0,3397
5,반포본동,10,20.1,0.0,41
6,반포1동,458,16.6,141.0,4133
7,반포2동,7,20.1,5.0,2103
8,반포3동,41,20.3,16.0,3268
9,반포4동,117,21.9,37.0,2996
10,방배본동,361,21.5,92.0,3195
11,방배1동,320,24.5,137.0,2990
12,방배2동,493,26.8,249.0,3549
13,방배3동,137,27.4,53.0,3301
14,방배4동,335,21.1,132.0,3600
15,양재1동,2293,24.3,712.0,7254
16,양재2동,678,18.4,284.0,3077
17,내곡동,815,30.0,200.0,3440
18,신사동,246,27.4,66.0,3071
19,논현1동,868,16.5,157.0,2974
20,논현2동,489,19.8,83.0,3186
21,삼성1동,168,24,24.0,2208
22,삼성2동,466,16.9,109.0,3903
23,대치1동,17,15.9,4.0,2684
24,대치4동,657,13.1,112.0,2082
25,역삼1동,1075,12.2,205.0,3673
26,역삼2동,570,14.0,87.0,3899
27,도곡1동,157,20.4,40.0,3117
28,도곡2동,82,22.5,18.0,5119
29,개포1동,162,37.6,72.0,1676
30,개포4동,713,20.0,157.0,3482
31,일원본동,125,21.1,26.0,3382
32,일원1동,1696,32.3,447.0,3376
33,수서동,3377,56.9,1094.0,4930
34,세곡동,2342,22.8,391.0,6899
35,압구정동,152,30.5,32.0,5280
36,청담동,243,20.4,51.0,3814
37,대치2동,141,20.0,37.0,5334
38,개포2동,174,18.8,60.0,3916
39,풍납1동,522,30.9,224.0,2802
40,풍납2동,569,22.8,173.0,4027
41,거여1동,560,28.2,205.0,2497
42,거여2동,803,25.7,368.0,4278
43,마천1동,1639,33.7,515.0,4317
44,마천2동,1509,32.8,423.0,4190
45,방이1동,328,20.4,83.0,2324
46,방이2동,905,17.1,243.0,3626
47,오륜동,9,24.9,9.0,3065
48,오금동,1605,24.9,354.0,6807
49,송파1동,581,19.3,168.0,3616
50,송파2동,359,22.2,96.0,3018
51,석촌동,995,18.9,283.0,4663
52,삼전동,1196,17.6,324.0,4153
53,가락본동,739,20.4,194.0,3991
54,가락1동,112,19.8,60.0,3814
55,가락2동,576,19.4,135.0,4506
56,문정1동,402,21.6,118.0,3198
57,문정2동,96,18.6,39.0,4170
58,잠실본동,949,26.1,305.0,3008
59,잠실4동,31,35.7,13.0,2235
60,잠실6동,34,16.1,13.0,3917
61,잠실7동,11,26.2,4.0,6070
62,잠실2동,33,21.7,16.0,4616
63,잠실3동,54,11.7,28.0,3583
64,장지동,1680,17.3,356.0,3896
65,위례동,1090,20.8,206.0,2974
66,개포3동,692,21,453.0,3559
